FileName,IsDebuggerPresent,CheckRemoteDebuggerPresent,GetTickCount,OutputDebugStringA,FindWindowA,NtQueryInformationProcess,VirtualAlloc,WriteProcessMemory,ShellExecute,InternetOpen,Entropy_Max,Has_RWX,Imports_Count,Section_Count,Compile_Year,Label
UsoClient.exe,1,0,0,0,0,0,0,0,0,0,5.879271205267806,0,104,7,0,0
b748c37f14082e151acc4c6677f19cdcd2cd26b6a8c7d6e768a090e8aecbb698.exe,0,0,0,0,0,0,0,0,0,0,5.558113092871427,0,1,3,2020,1
1891748c2fd3821e15a519b10a34bb5372fd5601ad57fae537e4ed41ef593163.exe,0,0,0,0,0,0,0,0,0,0,5.804047460213788,0,17,3,2012,1
WinCsFlags.exe,1,0,1,0,0,0,1,0,0,0,6.635022064991208,0,215,7,2025,0
c855a83b6b0b51c9e9bc1b2676d5644f1c578b87734517ce63820ca33d155707.exe,0,0,0,0,0,0,0,0,0,0,7.981502709028795,0,9,3,2017,1
WpcTok.exe,1,0,1,0,0,0,0,0,0,0,6.126957246442662,0,193,8,0,0
d31742a33f52f5d3326a828f73c666d605c07b2070f5a863fce7d97a4b1cfee2.exe,0,0,0,0,0,0,0,0,0,0,5.356425548505487,0,1,3,2020,1
c1acf573288ff0fac23f05ad4baa03fb803a1aac6ca8427a319d366cc9fc9c13.exe,0,0,0,0,0,0,0,0,0,0,7.607212225310192,0,1,3,2020,1
b0f0758152599d38ebd0f485f435536f73819ae3fcdddbef8a182b8e06eaa01d.exe,0,0,1,0,0,0,0,0,1,0,6.062930672633464,0,91,3,2015,1
e5df93c0fedca105218296cbfc083bdc535ca99862f10d21a179213203d6794f.exe,0,0,0,0,0,0,0,0,0,0,6.511807747673021,0,16,7,2018,1
af53e36a62f237597b47d34349e40c16a3682a492fe7c320c7e834f6247e078a.exe,0,0,1,0,0,0,1,1,0,0,7.826013366080528,1,200,5,0,1
wlanext.exe,1,0,1,0,0,0,0,0,0,0,6.20355685380562,0,119,8,0,0
WerFaultSecure.exe,1,0,0,0,0,1,1,0,0,0,7.160142871100719,0,170,8,2026,0
upnpcont.exe,1,0,0,0,0,0,1,0,0,0,5.792765541154257,0,106,8,0,0
e79bbb45421320be05211a94ed507430cc9f6cf80d607d61a317af255733fcf2.exe,0,0,1,0,0,0,1,0,0,0,6.7032158941585385,0,82,4,2015,1
wusa.exe,1,0,1,0,0,0,0,0,1,0,7.231690846825428,0,236,7,0,0
vds.exe,1,0,1,0,0,0,1,0,0,0,6.165731353033661,0,385,8,0,0
f9348fb8d78baa055f90288fec94b67d3f3d30eaa5744feeacef871ee3ad8eb8.exe,0,0,1,0,0,0,0,0,1,0,7.822704614659663,0,111,5,2020,1
b9561f35b2fa188ed20de24bb67956e15858aeb67441fb31cbcfe84e1d4edc9a.exe,0,0,0,0,0,0,0,0,0,0,6.3028431052086855,0,1,3,0,1
Windows.WARP.JITService.exe,1,0,0,0,0,0,0,0,0,0,6.024452180953288,0,102,8,0,0
verclsid.exe,0,0,1,0,0,0,0,0,0,0,3.967242342524131,0,43,8,0,0
w32tm.exe,1,0,1,0,0,0,1,0,0,0,6.183850287729617,0,225,8,0,0
wiaacmgr.exe,1,0,0,0,0,0,1,0,0,0,5.822671888438966,0,168,7,2027,0
vdsldr.exe,0,0,1,0,0,0,1,0,0,0,5.598732110838572,0,128,7,0,0
UDCInfInstaller.exe,1,0,0,0,0,0,0,0,0,0,5.93548721235513,0,223,6,2024,0
b60c0c04badc8c5defab653c581d57505b3455817b57ee70af74311fa0b65e22.exe,1,0,1,0,0,0,1,0,0,0,6.882766163290623,0,95,4,2012,1
4003130247f2cab8b87f3d8de23293ddbc9568dbac75ad594abc7e01a04390d3.exe,1,0,1,0,0,0,0,0,1,1,6.573711088200928,0,111,4,2020,1
VaultCmd.exe,1,0,0,0,0,0,0,0,0,0,5.327199365874728,0,83,7,2025,0
winrs.exe,0,0,1,0,0,0,0,0,0,0,5.918400757676888,0,115,8,0,0
efab5691427df802977f9170761420d10f6ebec2dd878ebd6e00d3e6bcc3b141.exe,0,0,1,0,1,0,1,0,0,0,7.540455425446227,0,416,8,1992,1
e3212a19bbf13d1e8c9d6c80be5dedd5ce5d13acfd276d8a1c29370d500196bd.exe,0,0,0,0,0,0,0,0,0,0,5.829455819301116,0,61,3,2018,1
wscadminui.exe,0,0,1,0,0,0,0,0,0,0,3.3741262227015985,0,23,8,2030,0
ff5ce90c78eb4d6c2714bd659fb6fbbb9afc50d03a16d32015ff350d79f6fec4.exe,1,0,0,0,0,0,0,0,0,0,6.562722390247794,0,68,4,2018,1
wksprt.exe,1,0,1,1,0,0,1,0,1,0,7.30442702009416,0,319,7,0,0
wecutil.exe,0,0,1,0,0,0,0,0,0,0,5.96734361492627,0,124,8,0,0
wkspbroker.exe,1,0,1,1,0,0,0,0,1,0,6.273613906395064,0,252,8,2012,0
